Year,AG_FPA_CFPI
2012.0,0.1
2013.0,0.6
2014.0,0.7
2015.0,1.7
2016.0,0.6
2017.0,0.3
2018.0,-0.2
2019.0,-0.2
2020.0,
2021.0,
