Year,SG_REG_CENSUSN,SG_REG_BRTH90N,SG_REG_DETH75N
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,,,
2016.0,,1.0,1.0
2017.0,,1.0,1.0
2018.0,1.0,1.0,1.0
2019.0,,1.0,1.0
2020.0,,,
2021.0,,,
