Year,AG_PRD_ORTIND,AG_PRD_AGVAS,AG_XPD_AGSGB
2012.0,0.3013,10.28,3.1
2013.0,0.2601,10.36,2.69
2014.0,0.302,10.07,3.04
2015.0,0.18,9.97,1.83
2016.0,0.1828,9.66,1.77
2017.0,0.2225,9.68,2.15
2018.0,0.18,9.44,1.69
2019.0,0.17,9.37,1.59
2020.0,,,
2021.0,,,
