Year,SH_SAN_HNDWSH,SH_SAN_DEFECT
2012.0,76.0,6.0
2013.0,76.0,6.0
2014.0,77.0,5.0
2015.0,77.0,5.0
2016.0,77.0,4.0
2017.0,77.0,4.0
2018.0,77.0,3.0
2019.0,77.0,3.0
2020.0,,2.0
2021.0,,
