Year,ER_CBD_SMTA,ER_CBD_NAGOYA,ER_CBD_ABSCLRHS,ER_CBD_ORSPGRFA,ER_CBD_PTYPGRFA
2012.0,46.0,1.0,1.0,,1.0
2013.0,57.0,,,,1.0
2014.0,63.0,,,,1.0
2015.0,67.0,,,,1.0
2016.0,84.0,,,0.0,1.0
2017.0,94.0,,,0.0,1.0
2018.0,103.0,,,0.0,1.0
2019.0,121.0,,,1.0,1.0
2020.0,121.0,,,1.0,1.0
2021.0,121.0,,,1.0,1.0
