Year,EG_EGY_CLEAN
2012.0,39.0
2013.0,40.0
2014.0,42.0
2015.0,43.0
2016.0,44.0
2017.0,46.0
2018.0,48.0
2019.0,49.0
2020.0,
2021.0,
