Year,SI_COV_POOR,SI_COV_CHLD,SI_COV_UEMP,SI_COV_VULN,SI_COV_WKINJRY,SI_COV_BENFTS,SI_COV_DISAB,SI_COV_PENSN
2012.0,,,,,,,,
2013.0,,,,,,,,
2014.0,,,,,,,,
2015.0,,,,,,,,
2016.0,,,,,,,2.3,8.3
2017.0,3.7,3.1,,2.0,19.8,10.3,3.3,26.2
2018.0,,,,,,14.1,,
2019.0,,,,,,,,
2020.0,9.4,2.6,0.0,6.8,18.6,14.5,2.2,16.7
2021.0,,,,,,,,
