Year,VC_HTF_DETVOP,VC_HTF_DETV
2012.0,,192.0
2013.0,,234.0
2014.0,,273.0
2015.0,,
2016.0,25.0,484.0
2017.0,7.0,333.0
2018.0,,
2019.0,,
2020.0,,
2021.0,,
