Year,BX_TRF_PWKR
2012.0,10.0119
2013.0,10.0077
2014.0,9.9416
2015.0,10.4234
2016.0,11.1465
2017.0,11.7144
2018.0,12.8915
2019.0,13.8348
2020.0,14.6935
2021.0,
