Year,EG_EGY_RNEW
2012.0,99.191
2013.0,105.571
2014.0,111.457
2015.0,134.028
2016.0,160.833
2017.0,162.749
2018.0,172.89700000000005
2019.0,163.262
2020.0,
2021.0,
