Year,EN_ATM_PM25
2012.0,32.46947
2013.0,33.807590000000005
2014.0,31.23998
2015.0,30.776290000000003
2016.0,30.46781
2017.0,
2018.0,
2019.0,
2020.0,
2021.0,
