Year,GB_POP_SCIERD
2012.0,26.91416
2013.0,17.37646
2014.0,20.28482
2015.0,22.15054
2016.0,22.07069
2017.0,14.070379999999998
2018.0,12.87117
2019.0,
2020.0,
2021.0,
