Year,GF_COM_PPPI,GF_COM_PPPI_KD
2012.0,180.0,200.4336
2013.0,523.0,573.9634
2014.0,530.2,572.5336
2015.0,94.0,101.3927
2016.0,0.0,0.0
2017.0,0.0,0.0
2018.0,0.0,0.0
2019.0,56.4,56.4
2020.0,5194.5,
2021.0,,
