Year,SH_STA_MALR
2012.0,0.54319
2013.0,0.6185
2014.0,0.55304
2015.0,0.65212
2016.0,0.45411
2017.0,0.34363
2018.0,0.27226
2019.0,0.18293
2020.0,
2021.0,
