Year,EN_MAR_CHLDEV,EN_MAR_BEALITSQ
2012.0,4.79,
2013.0,17.55,
2014.0,3.26,
2015.0,0.09,
2016.0,0.12,4017753.0
2017.0,0.41,10803670.0
2018.0,1.06,250689.0
2019.0,0.07,
2020.0,,
2021.0,,
