Year,SG_LGL_GENEQLFP,SG_LGL_GENEQVAW,SG_LGL_GENEQEMP,SG_LGL_GENEQMAR
2012.0,,,,
2013.0,,,,
2014.0,,,,
2015.0,,,,
2016.0,,,,
2017.0,,,,
2018.0,70.0,83.33334,60.0,90.90909
2019.0,,,,
2020.0,70.0,83.33334,60.0,90.90909
2021.0,,,,
