Year,DC_FTA_TOTAL
2012.0,192.43337
2013.0,148.18809
2014.0,88.61064
2015.0,48.66068
2016.0,77.71732
2017.0,94.32348
2018.0,289.73249
2019.0,61.08201999999999
2020.0,
2021.0,
