Year,GF_FRN_FDI
2012.0,1244.5
2013.0,1295.4
2014.0,1388.7
2015.0,1220.8
2016.0,1184.6
2017.0,1169.5
2018.0,1002.7
2019.0,998.24405
2020.0,
2021.0,
