Year,ER_FFS_CMPT,ER_FFS_CMPT_PC,ER_FFS_CMPT_GDP
2012.0,,,
2013.0,,,
2014.0,,,
2015.0,153.122,9.42149,0.24623
2016.0,170.15,10.26046,0.26648
2017.0,183.021,10.82005,0.27822
2018.0,193.812,11.23688,0.28545
2019.0,202.948,11.54329,0.28784
2020.0,,,
2021.0,,,
