Year,GF_XPD_GBPC
2012.0,96.1274
2013.0,90.3687
2014.0,94.2931
2015.0,88.5273
2016.0,92.7958
2017.0,92.5031
2018.0,97.7758
2019.0,94.4411
2020.0,66.6193
2021.0,
