Year,SH_ACS_DTP3,SH_ACS_MCV2,SH_ACS_PCV3,SH_ACS_HPV
2012.0,96.0,0.0,0.0,
2013.0,85.0,0.0,24.0,
2014.0,73.0,0.0,51.0,
2015.0,74.0,0.0,82.0,
2016.0,80.0,65.0,81.0,
2017.0,82.0,81.0,84.0,
2018.0,86.0,76.0,85.0,31.0
2019.0,85.0,78.0,88.0,24.0
2020.0,,,,
2021.0,,,,
