Year,SH_DYN_IMRTN,SH_DYN_MORT,SH_DYN_IMRT,SH_DYN_MORTN
2012.0,10761.0,31.9,26.5,12966.0
2013.0,10415.0,30.6,25.5,12493.0
2014.0,10100.0,29.4,24.6,12072.0
2015.0,9804.0,28.3,23.7,11681.0
2016.0,9527.0,27.2,22.9,11317.0
2017.0,9261.0,26.2,22.1,10970.0
2018.0,9022.0,25.4,21.4,10664.0
2019.0,8785.0,24.5,20.7,10364.0
2020.0,,,,
2021.0,,,,
