"Indicator"
"1.4.1"
"1.5.2"
"1.5.1"
"1.5.4"
"2.1.1"
"2.1.2"
"2.2.1"
"2.2.2"
"2.3.1"
"2.3.2"
"2.5.1"
"2.a.1"
"3.2.1"
"3.2.2"
"3.4.2"
"3.4.1"
"3.8.2"
"3.b.1"
"3.d.2"
"4.5.1"
"6.2.1"
"9.4.1"
"10.5.1"
"11.5.1"
"11.b.2"
"12.b.1"
"12.c.1"
"13.1.1"
"13.1.3"
"14.1.1"
"15.1.1"
"17.1.1"
"17.13.1"
"17.17.1"
