Indicator,13.1.1,13.1.2,13.1.3
13.1.1,1.0,-0.4916783803998302,0.9028184135120204
13.1.2,-0.4916783803998302,1.0,0.3000461499922426
13.1.3,0.9028184135120204,0.3000461499922426,1.0
