Indicator,3.3.2,3.3.3,3.3.4,3.3.5
3.3.2,1.0,0.23736750316587996,,-0.14425796227238397
3.3.3,0.23736750316587996,1.0,,-0.9105443298120368
3.3.4,,,,
3.3.5,-0.14425796227238397,-0.9105443298120368,,1.0
