Indicator,1.5.1,1.5.2,1.5.3,1.5.4
1.5.1,1.0,0.9999999999999998,-0.49167838039983003,0.9028184135120203
1.5.2,0.9999999999999998,1.0,-0.15722772399110457,0.6836857080013554
1.5.3,-0.49167838039983003,-0.15722772399110457,1.0,0.3000461499922425
1.5.4,0.9028184135120203,0.6836857080013554,0.3000461499922425,1.0
