UniqueID,TimePeriod,SH_H2O_SAFE          ALLAREA               ,SH_H2O_SAFE          RURAL               ,SH_H2O_SAFE          URBAN               
TimePeriod,1.0,0.969087423704698,0.9585144756340407,0.8959786703810408
SH_H2O_SAFE          ALLAREA               ,0.969087423704698,1.0,0.921512225968107,0.9363821838346237
SH_H2O_SAFE          RURAL               ,0.9585144756340407,0.921512225968107,1.0,0.8660254037844387
SH_H2O_SAFE          URBAN               ,0.8959786703810408,0.9363821838346237,0.8660254037844387,1.0
