UniqueID,TimePeriod,SH_DYN_IMRT BOTHSEX                 <1Y       ,SH_DYN_IMRT FEMALE                 <1Y       ,SH_DYN_IMRT MALE                 <1Y       ,SH_DYN_IMRTN BOTHSEX                 <1Y       ,SH_DYN_IMRTN FEMALE                 <1Y       ,SH_DYN_IMRTN MALE                 <1Y       ,SH_DYN_MORT BOTHSEX                 <5Y       ,SH_DYN_MORT FEMALE                 <5Y       ,SH_DYN_MORT MALE                 <5Y       ,SH_DYN_MORTN BOTHSEX                 <5Y       ,SH_DYN_MORTN FEMALE                 <5Y       ,SH_DYN_MORTN MALE                 <5Y       
TimePeriod,1.0,-0.998153108114809,-0.9976706897802141,-0.9983348327292785,-0.997907418813259,-0.9978536005293582,-0.9979111216124201,-0.9972421316921438,-0.997526489190469,-0.9973994914183227,-0.9971099674488874,-0.9965840950573919,-0.997501657061705
SH_DYN_IMRT BOTHSEX                 <1Y       ,-0.998153108114809,1.0,0.999880691422809,0.9998925597884643,0.9999785253376748,0.999974552384292,0.9999431503850233,0.9998539390420275,0.999919452427562,0.9998714356039039,0.9998645352257431,0.9997441481115519,0.9999266046678738
SH_DYN_IMRT FEMALE                 <1Y       ,-0.9976706897802141,0.999880691422809,1.0,0.9996935349991324,0.999871927555031,0.9999038117161966,0.9998085027741589,0.99991889374745,0.9999194865534256,0.9999029883769933,0.9998231529570444,0.999742670114151,0.9998527952765772
SH_DYN_IMRT MALE                 <1Y       ,-0.9983348327292785,0.9998925597884643,0.9996935349991324,1.0,0.999922334975619,0.9998294945399182,0.9999564904284908,0.9997234214533117,0.999844815035829,0.9998002762486482,0.9997715767460146,0.9996110069257105,0.9998663043888234
SH_DYN_IMRTN BOTHSEX                 <1Y       ,-0.997907418813259,0.9999785253376748,0.999871927555031,0.999922334975619,1.0,0.9999724028725249,0.9999831073294279,0.9999027736171836,0.9999691286643401,0.9999268051503023,0.9999350797552964,0.9998358460323624,0.9999799561603894
SH_DYN_IMRTN FEMALE                 <1Y       ,-0.9978536005293582,0.999974552384292,0.9999038117161966,0.9998294945399182,0.9999724028725249,1.0,0.9999123283192988,0.9999124484881349,0.9999505001584805,0.9999114247547211,0.9999064863896593,0.9998126272086529,0.9999469961425812
SH_DYN_IMRTN MALE                 <1Y       ,-0.9979111216124201,0.9999431503850233,0.9998085027741589,0.9999564904284908,0.9999831073294279,0.9999123283192988,1.0,0.999856723779264,0.999945220301324,0.999900357155813,0.9999189690210836,0.9998155341767764,0.9999672600854971
SH_DYN_MORT BOTHSEX                 <5Y       ,-0.9972421316921438,0.9998539390420275,0.99991889374745,0.9997234214533117,0.9999027736171836,0.9999124484881349,0.999856723779264,1.0,0.9999684245665609,0.9999155237130588,0.9999326238322807,0.999900407720681,0.9999230377970638
SH_DYN_MORT FEMALE                 <5Y       ,-0.997526489190469,0.999919452427562,0.9999194865534256,0.999844815035829,0.9999691286643401,0.9999505001584805,0.999945220301324,0.9999684245665609,1.0,0.999970452525222,0.9999654930802309,0.9999006728587052,0.9999824019233967
SH_DYN_MORT MALE                 <5Y       ,-0.9973994914183227,0.9998714356039039,0.9999029883769933,0.9998002762486482,0.9999268051503023,0.9999114247547211,0.999900357155813,0.9999155237130588,0.999970452525222,1.0,0.9999366701547199,0.9998671468221652,0.999957402058796
SH_DYN_MORTN BOTHSEX                 <5Y       ,-0.9971099674488874,0.9998645352257431,0.9998231529570444,0.9997715767460146,0.9999350797552964,0.9999064863896593,0.9999189690210836,0.9999326238322807,0.9999654930802309,0.9999366701547199,1.0,0.999975717986237,0.999983963831303
SH_DYN_MORTN FEMALE                 <5Y       ,-0.9965840950573919,0.9997441481115519,0.999742670114151,0.9996110069257105,0.9998358460323624,0.9998126272086529,0.9998155341767764,0.999900407720681,0.9999006728587052,0.9998671468221652,0.999975717986237,1.0,0.9999202166462835
SH_DYN_MORTN MALE                 <5Y       ,-0.997501657061705,0.9999266046678738,0.9998527952765772,0.9998663043888234,0.9999799561603894,0.9999469961425812,0.9999672600854971,0.9999230377970638,0.9999824019233967,0.999957402058796,0.999983963831303,0.9999202166462835,1.0
