UniqueID,TimePeriod,ER_H2O_PRDU          RURAL               ,ER_H2O_RURP          RURAL               ,ER_WAT_PART                         ,ER_WAT_PRDU                         
TimePeriod,,,,,
ER_H2O_PRDU          RURAL               ,,,,,
ER_H2O_RURP          RURAL               ,,,,,
ER_WAT_PART                         ,,,,,
ER_WAT_PRDU                         ,,,,,
