UniqueID,SG_PLN_RECNDI                         ,SG_PLN_RECRICTRY                         ,SG_PLN_RECRIMON                         ,SG_PLN_REPOLRES                         
SG_PLN_RECNDI                         ,,,,
SG_PLN_RECRICTRY                         ,,,,
SG_PLN_RECRIMON                         ,,,,
SG_PLN_REPOLRES                         ,,,,
