UniqueID,TimePeriod,FB_ATM_TOTL              A    15+       ,FB_CBK_BRCH              A    15+       
TimePeriod,1.0,0.8447161162063928,-0.8332780150038274
FB_ATM_TOTL              A    15+       ,0.8447161162063928,1.0,-0.42225415201874467
FB_CBK_BRCH              A    15+       ,-0.8332780150038274,-0.42225415201874467,1.0
