UniqueID,TimePeriod,AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,AG_PRD_FIESMS FEMALE                 15+       ,AG_PRD_FIESMS MALE                 15+       ,AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESMSN FEMALE             A    15+       ,AG_PRD_FIESMSN MALE             A    15+       ,AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,AG_PRD_FIESS FEMALE             A    15+       ,AG_PRD_FIESS MALE             A    15+       ,AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,AG_PRD_FIESSN FEMALE             A    15+       ,AG_PRD_FIESSN MALE             A    15+       
TimePeriod,1.0,0.8618412663675965,0.9096525045575451,0.7422763198669818,0.9354667412857742,0.9707678296584794,0.9342642388647971,0.9737662145347796,0.9509298551358538,0.9325690534057407,0.9873800779316307,0.986865093072245,0.9837761152238174
AG_PRD_FIESMS BOTHSEX                 ALLAGE       ,0.8618412663675965,1.0,0.9884271477570927,0.9621665036016893,0.9854482548914465,0.955130622275709,0.9803849895753065,0.9449981204781944,0.7703775551424166,0.8744088239279246,0.9252828079085513,0.8268843210847956,0.9021940257662581
AG_PRD_FIESMS FEMALE                 15+       ,0.9096525045575451,0.9884271477570927,1.0,0.9219450772614833,0.9937543278223828,0.9826765965074149,0.9858005929479728,0.9726384162133245,0.8506636637139776,0.8825646747180526,0.9590232954788694,0.8923522403649604,0.9287481302104502
AG_PRD_FIESMS MALE                 15+       ,0.7422763198669818,0.9621665036016893,0.9219450772614833,1.0,0.9179638410660097,0.8622036599142066,0.931758812081731,0.8691245748663402,0.6507663243192494,0.849142560986228,0.8352199558522109,0.7046639517418094,0.8279616979895925
AG_PRD_FIESMSN BOTHSEX             A    ALLAGE       ,0.9354667412857742,0.9854482548914465,0.9937543278223828,0.9179638410660097,1.0,0.9909008964168796,0.995606015151248,0.9843792943693799,0.8555545918339195,0.9198861263881418,0.9752817401263296,0.9068847108729126,0.9573922577185211
AG_PRD_FIESMSN FEMALE             A    15+       ,0.9707678296584794,0.955130622275709,0.9826765965074149,0.8622036599142066,0.9909008964168796,1.0,0.9851148397711951,0.9947438018723352,0.9124603265906661,0.9236943694007037,0.9931954067160581,0.9537221220088288,0.9739885460020383
AG_PRD_FIESMSN MALE             A    15+       ,0.9342642388647971,0.9803849895753065,0.9858005929479728,0.931758812081731,0.995606015151248,0.9851148397711951,1.0,0.9879898086628465,0.8598455490996677,0.9472247513443223,0.9772134844184925,0.9077866747074587,0.9681886558195961
AG_PRD_FIESS BOTHSEX             A    ALLAGE       ,0.9737662145347796,0.9449981204781944,0.9726384162133245,0.8691245748663402,0.9843792943693799,0.9947438018723352,0.9879898086628465,1.0,0.9264363904535537,0.9528345243188252,0.9975047673124752,0.961664057354325,0.9872258714616959
AG_PRD_FIESS FEMALE             A    15+       ,0.9509298551358538,0.7703775551424166,0.8506636637139776,0.6507663243192494,0.8555545918339195,0.9124603265906661,0.8598455490996677,0.9264363904535537,1.0,0.8591792457793385,0.9382508304124378,0.9883456508462996,0.9195635987802461
AG_PRD_FIESS MALE             A    15+       ,0.9325690534057407,0.8744088239279246,0.8825646747180526,0.849142560986228,0.9198861263881418,0.9236943694007037,0.9472247513443223,0.9528345243188252,0.8591792457793385,1.0,0.9517244546634271,0.9037764764957679,0.9802849313764932
AG_PRD_FIESSN BOTHSEX             A    ALLAGE       ,0.9873800779316307,0.9252828079085513,0.9590232954788694,0.8352199558522109,0.9752817401263296,0.9931954067160581,0.9772134844184925,0.9975047673124752,0.9382508304124378,0.9517244546634271,1.0,0.9743866754819386,0.9916938899340713
AG_PRD_FIESSN FEMALE             A    15+       ,0.986865093072245,0.8268843210847956,0.8923522403649604,0.7046639517418094,0.9068847108729126,0.9537221220088288,0.9077866747074587,0.961664057354325,0.9883456508462996,0.9037764764957679,0.9743866754819386,1.0,0.9618056406725835
AG_PRD_FIESSN MALE             A    15+       ,0.9837761152238174,0.9021940257662581,0.9287481302104502,0.8279616979895925,0.9573922577185211,0.9739885460020383,0.9681886558195961,0.9872258714616959,0.9195635987802461,0.9802849313764932,0.9916938899340713,0.9618056406725835,1.0
