UniqueID,TimePeriod,IS_RDP_FRGVOL     AIR                    ,IS_RDP_FRGVOL     IWW                    ,IS_RDP_FRGVOL     RAI                    ,IS_RDP_FRGVOL     ROA                    ,IS_RDP_PFVOL     AIR                    ,IS_RDP_PFVOL     RAI                    ,IS_RDP_PFVOL     ROA                    ,IS_RDP_PORFVOL     SEA                    
TimePeriod,1.0,-0.928719893439612,1.0,1.0,1.0,-0.40691600136440487,1.0,-0.9999999999999997,0.9578196951517263
IS_RDP_FRGVOL     AIR                    ,-0.928719893439612,1.0,-1.0,-1.0,-1.0,0.039214306568985474,-1.0,0.9999999999999998,-0.9882176589614098
IS_RDP_FRGVOL     IWW                    ,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-1.0
IS_RDP_FRGVOL     RAI                    ,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999998,-1.0
IS_RDP_FRGVOL     ROA                    ,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.9999999999999997,-1.0
IS_RDP_PFVOL     AIR                    ,-0.40691600136440487,0.039214306568985474,-1.0,-1.0,-1.0,1.0,-0.9999999999999998,0.9999999999999996,0.11418508663185577
IS_RDP_PFVOL     RAI                    ,1.0,-1.0,1.0,1.0,1.0,-0.9999999999999998,1.0,-0.9999999999999997,-1.0
IS_RDP_PFVOL     ROA                    ,-0.9999999999999997,0.9999999999999998,-0.9999999999999998,-0.9999999999999998,-0.9999999999999997,0.9999999999999996,-0.9999999999999997,1.0,1.0000000000000004
IS_RDP_PORFVOL     SEA                    ,0.9578196951517263,-0.9882176589614098,-1.0,-1.0,-1.0,0.11418508663185577,-1.0,1.0000000000000004,1.0
