UniqueID,TimePeriod,SG_LGL_GENEQEMP                         ,SG_LGL_GENEQLFP                         ,SG_LGL_GENEQMAR                         ,SG_LGL_GENEQVAW                         
TimePeriod,1.0,,,,
SG_LGL_GENEQEMP                         ,,,,,
SG_LGL_GENEQLFP                         ,,,,,
SG_LGL_GENEQMAR                         ,,,,,
SG_LGL_GENEQVAW                         ,,,,,
