UniqueID,TimePeriod,DC_TOF_HLTHL                         ,DC_TOF_HLTHNT                         
TimePeriod,1.0,-0.2530184696531649,-0.23566764850396374
DC_TOF_HLTHL                         ,-0.2530184696531649,1.0,0.9990319583239917
DC_TOF_HLTHNT                         ,-0.23566764850396374,0.9990319583239917,1.0
