UniqueID,SG_LGL_GENEQEMP                         ,SG_LGL_GENEQLFP                         ,SG_LGL_GENEQMAR                         ,SG_LGL_GENEQVAW                         
SG_LGL_GENEQEMP                         ,,,,
SG_LGL_GENEQLFP                         ,,,,
SG_LGL_GENEQMAR                         ,,,,
SG_LGL_GENEQVAW                         ,,,,
