UniqueID,TimePeriod,EN_HAZ_EXP                         ,EN_HAZ_GENGDP                         ,EN_HAZ_GENV              A           ,EN_HAZ_IMP                         ,EN_HAZ_PCAP                         ,EN_HAZ_TREATV              A           ,EN_HAZ_TRTDISR                         ,EN_HAZ_TRTDISV              A           ,EN_TWT_GENV                     ISIC4_T    
TimePeriod,1.0,0.16165918645150346,0.15541954788519283,0.2174300393232307,-0.09544382993810085,0.17297735500916278,0.18543834208336432,-0.6544202246651485,-0.039773953801715105,
EN_HAZ_EXP                         ,0.16165918645150346,1.0,-0.03310504041909501,-0.0026539265933439625,-0.5994826520907254,-0.009376617774214379,-0.4313297961948388,-0.20710130598943796,-0.5737471884863599,
EN_HAZ_GENGDP                         ,0.15541954788519283,-0.03310504041909501,1.0,0.9965667987967542,0.647742569649526,0.9994024866181977,0.8477947908107727,-0.7121312158405124,0.6974110665589093,
EN_HAZ_GENV              A           ,0.2174300393232307,-0.0026539265933439625,0.9965667987967542,1.0,0.6397816602747318,0.9985258509121644,0.8469895631171679,-0.7269302081275489,0.690790986565166,
EN_HAZ_IMP                         ,-0.09544382993810085,-0.5994826520907254,0.647742569649526,0.6397816602747318,1.0,0.6410517979848143,0.9143628882757274,-0.13293214877065399,0.9966179266567883,
EN_HAZ_PCAP                         ,0.17297735500916278,-0.009376617774214379,0.9994024866181977,0.9985258509121644,0.6410517979848143,1.0,0.8436996695759191,-0.7162126385753816,0.6911534316312734,
EN_HAZ_TREATV              A           ,0.18543834208336432,-0.4313297961948388,0.8477947908107727,0.8469895631171679,0.9143628882757274,0.8436996695759191,1.0,-0.5228501140952442,0.944542693027483,
EN_HAZ_TRTDISR                         ,-0.6544202246651485,-0.20710130598943796,-0.7121312158405124,-0.7269302081275489,-0.13293214877065399,-0.7162126385753816,-0.5228501140952442,1.0,-0.21392805627018,
EN_HAZ_TRTDISV              A           ,-0.039773953801715105,-0.5737471884863599,0.6974110665589093,0.690790986565166,0.9966179266567883,0.6911534316312734,0.944542693027483,-0.21392805627018,1.0,
EN_TWT_GENV                     ISIC4_T    ,,,,,,,,,,
