UniqueID,TimePeriod,ER_BDY_ABT2NP                 ABT2INSUFNT        ,ER_BDY_SEEA                 LS_DISSEM        
TimePeriod,,,
ER_BDY_ABT2NP                 ABT2INSUFNT        ,,,
ER_BDY_SEEA                 LS_DISSEM        ,,,
