UniqueID,TimePeriod,EN_ATM_CO2                     ISIC4_C10T32X19    ,EN_ATM_CO2                     TOTAL    ,EN_ATM_CO2GDP                         ,EN_ATM_CO2MVA                     ISIC4_C    
TimePeriod,1.0,0.8283342781064735,0.9479805610844022,0.849197925568715,-0.14860752335342653
EN_ATM_CO2                     ISIC4_C10T32X19    ,0.8283342781064735,1.0,0.9312283016863488,0.9509065065414306,0.4305493161882823
EN_ATM_CO2                     TOTAL    ,0.9479805610844022,0.9312283016863488,1.0,0.9727993930922322,0.11500013068524959
EN_ATM_CO2GDP                         ,0.849197925568715,0.9509065065414306,0.9727993930922322,1.0,0.30761050631457865
EN_ATM_CO2MVA                     ISIC4_C    ,-0.14860752335342653,0.4305493161882823,0.11500013068524959,0.30761050631457865,1.0
