UniqueID,SI_POV_DAY1                         ,SI_POV_EMP1 BOTHSEX                 15+       ,SI_POV_EMP1 BOTHSEX                 15-24       ,SI_POV_EMP1 BOTHSEX                 25+       ,SI_POV_EMP1 FEMALE                 15+       ,SI_POV_EMP1 FEMALE                 15-24       ,SI_POV_EMP1 FEMALE                 25+       ,SI_POV_EMP1 MALE                 15+       ,SI_POV_EMP1 MALE                 15-24       ,SI_POV_EMP1 MALE                 25+       
SI_POV_DAY1                         ,,,,,,,,,,
SI_POV_EMP1 BOTHSEX                 15+       ,,1.0,0.9805371467482692,0.9718094474021008,0.9874630392071305,0.9914446953305543,0.9719066128878073,0.9900641228638175,0.9392687621927088,0.9227813514965769
SI_POV_EMP1 BOTHSEX                 15-24       ,,0.9805371467482692,1.0,0.9096227487619234,0.9377264624466211,0.9611530277051368,0.9087333448444056,0.9954448123196248,0.9877583624811156,0.8345869990027761
SI_POV_EMP1 BOTHSEX                 25+       ,,0.9718094474021008,0.9096227487619234,1.0,0.9922758257767238,0.9663038309085826,0.9983306936103571,0.9390669143327562,0.8408972281626343,0.9843305123262907
SI_POV_EMP1 FEMALE                 15+       ,,0.9874630392071305,0.9377264624466211,0.9922758257767238,1.0,0.9902402900892964,0.9944287308744326,0.9566276174642515,0.8741308122776505,0.9630129463397702
SI_POV_EMP1 FEMALE                 15-24       ,,0.9914446953305543,0.9611530277051368,0.9663038309085826,0.9902402900892964,1.0,0.9709054831150931,0.9674831315008038,0.9076628055097277,0.9221007087383265
SI_POV_EMP1 FEMALE                 25+       ,,0.9719066128878073,0.9087333448444056,0.9983306936103571,0.9944287308744326,0.9709054831150931,1.0,0.936485158820691,0.8390275326075827,0.9786896170880923
SI_POV_EMP1 MALE                 15+       ,,0.9900641228638175,0.9954448123196248,0.9390669143327562,0.9566276174642515,0.9674831315008038,0.936485158820691,1.0,0.9749613400093955,0.875784894100469
SI_POV_EMP1 MALE                 15-24       ,,0.9392687621927088,0.9877583624811156,0.8408972281626343,0.8741308122776505,0.9076628055097277,0.8390275326075827,0.9749613400093955,1.0,0.7470524428435286
SI_POV_EMP1 MALE                 25+       ,,0.9227813514965769,0.8345869990027761,0.9843305123262907,0.9630129463397702,0.9221007087383265,0.9786896170880923,0.875784894100469,0.7470524428435286,1.0
