UniqueID,TimePeriod,SL_EMP_EARN BOTHSEX              isco08          ,SL_EMP_EARN BOTHSEX              isco08-0          ,SL_EMP_EARN BOTHSEX              isco08-1          ,SL_EMP_EARN BOTHSEX              isco08-2          ,SL_EMP_EARN BOTHSEX              isco08-3          ,SL_EMP_EARN BOTHSEX              isco08-4          ,SL_EMP_EARN BOTHSEX              isco08-5          ,SL_EMP_EARN BOTHSEX              isco08-6          ,SL_EMP_EARN BOTHSEX              isco08-7          ,SL_EMP_EARN BOTHSEX              isco08-8          ,SL_EMP_EARN BOTHSEX              isco08-9          ,SL_EMP_EARN FEMALE              isco08          ,SL_EMP_EARN FEMALE              isco08-1          ,SL_EMP_EARN FEMALE              isco08-2          ,SL_EMP_EARN FEMALE              isco08-3          ,SL_EMP_EARN FEMALE              isco08-4          ,SL_EMP_EARN FEMALE              isco08-5          ,SL_EMP_EARN FEMALE              isco08-6          ,SL_EMP_EARN FEMALE              isco08-7          ,SL_EMP_EARN FEMALE              isco08-8          ,SL_EMP_EARN FEMALE              isco08-9          ,SL_EMP_EARN MALE              isco08          ,SL_EMP_EARN MALE              isco08-0          ,SL_EMP_EARN MALE              isco08-1          ,SL_EMP_EARN MALE              isco08-2          ,SL_EMP_EARN MALE              isco08-3          ,SL_EMP_EARN MALE              isco08-4          ,SL_EMP_EARN MALE              isco08-5          ,SL_EMP_EARN MALE              isco08-6          ,SL_EMP_EARN MALE              isco08-7          ,SL_EMP_EARN MALE              isco08-8          ,SL_EMP_EARN MALE              isco08-9          
TimePeriod,1.0,0.7683476844749725,0.2706279885378845,-0.7145672752531578,0.9695767894953555,-0.18614799311449787,0.9086639570490114,0.8218121491248104,0.38669459561826514,-0.19491172578303936,0.9501106952061511,0.20164519503774422,0.7959678751489879,-0.35552714976803046,0.9713217997372229,-0.5307944299207868,0.9286503948271431,0.25207492530306536,0.7875071227468246,0.13116412244472497,0.7136654699154646,0.24874463835229937,0.69075237960493,0.2706279885378845,-0.7947724003086565,0.9266536134972345,0.2132802408980156,0.7945858724343402,0.9235761251852638,0.3110855084191258,-0.16682120232032496,0.9879910422551587,0.09116846116770938
SL_EMP_EARN BOTHSEX              isco08          ,0.7683476844749725,1.0,0.3569068856224506,-0.2924010986755219,0.6894488589804516,-0.6313238853225929,0.9626281228813179,0.7838628883749333,0.3399786559933766,-0.039241918106621705,0.8921756257285279,0.6368427278155211,0.8942659745599323,0.24953385924745944,0.7421464673311746,-0.8773125147256335,0.823765263710804,0.4148667097687326,0.6361222302435151,0.7036132149063806,0.8076406517606961,0.6393230547793352,0.9354401635179839,0.3569068856224506,-0.7735784198735094,0.5876408463549646,-0.27885186644298315,0.9601275120708842,0.809667583584042,0.3395219320088028,0.08796439134010607,0.8447650083227282,0.5840856781183389
SL_EMP_EARN BOTHSEX              isco08-0          ,0.2706279885378845,0.3569068856224506,1.0,0.3158400097981636,-0.0007816111365079886,-0.39053074461281856,0.2584364039437166,0.7420444847006593,-0.849858174507227,0.03147622868544489,0.44318676016001146,0.20951844273900797,0.8112134987049283,0.16376455836576692,0.06330651020235947,-0.8735720914759064,0.34115013090301205,0.6305354979329995,-0.34576786910976526,0.05939289584667196,0.999504500754119,0.43292486444655415,0.03147622868544984,1.0,0.3748955334786234,-0.1042269613691698,-0.06133328859146082,0.21979763892240345,0.163202715715783,0.84985817450722,,0.3302495555237434,0.08338256674452313
SL_EMP_EARN BOTHSEX              isco08-1          ,-0.7145672752531578,-0.2924010986755219,0.3158400097981636,1.0,-0.8519859696752301,-0.15334434282537657,-0.49911091340508373,-0.6266051048793455,-0.7368622555961284,0.5621852652060509,-0.6187354223742625,0.037291426386984024,-0.4480455199730334,0.7118257656921423,-0.8137207942232917,-0.024353001181215236,-0.7194554782539526,-0.18472571923979478,-0.7660572126632459,0.27381814808889215,-0.4779180902493937,0.015424133668123,-0.16430305701674525,0.31584000979816396,0.7385293337873545,-0.8752162332089163,-0.30805362304667894,-0.2765287945461877,-0.7596710996452467,-0.5725727657668265,0.5654847431899672,-0.6636852489724219,0.14250687256232522
SL_EMP_EARN BOTHSEX              isco08-2          ,0.9695767894953555,0.6894488589804516,-0.0007816111365079886,-0.8519859696752301,1.0,-0.10134474783508095,0.8526223427181849,0.808786793027396,0.5170424506724436,-0.3174002486741848,0.9042401403010101,0.1331061765100204,0.7481649801681612,-0.46922832767990535,0.9907636848946884,-0.4079409870711784,0.9148604925553725,0.2291940596299053,0.86334462204147,0.04145419974743632,0.6741808994869622,0.16611574244140653,0.5905190916709679,-0.0007816111365077803,-0.8463986849057819,0.97405571376138,0.23986130446104736,0.7113588336570652,0.9356546029172524,0.3802819085207144,-0.29832191386987195,0.9451959225647781,0.022567644028284897
SL_EMP_EARN BOTHSEX              isco08-3          ,-0.18614799311449787,-0.6313238853225929,-0.39053074461281856,-0.15334434282537657,-0.10134474783508095,1.0,-0.506249362897378,-0.6259562506684091,-0.026571646824984408,0.3831405126624586,-0.45798284181787724,-0.7412208655568836,-0.7298637184505588,-0.7804052849706056,-0.226415872759102,0.8668589642578259,-0.3907514037672002,-0.8450785800869217,0.8696242842332328,-0.9332707313115854,-0.7305728960078207,-0.7840247336791671,-0.4137681719640977,-0.39053074461281956,0.5266836562978512,0.10304595710254043,0.9004110095381292,-0.5505000355967118,-0.42768566291786436,-0.17868296172118953,0.23837634531967303,-0.3037871733756379,-0.7209526659710346
SL_EMP_EARN BOTHSEX              isco08-4          ,0.9086639570490114,0.9626281228813179,0.2584364039437166,-0.49911091340508373,0.8526223427181849,-0.506249362897378,1.0,0.8649238091073992,0.4065419032683022,-0.15003057150900775,0.970754992901255,0.4836393588437417,0.9256360538595465,0.02600745028203455,0.8919364254145665,-0.7982853217732856,0.9165079811523803,0.4001563698671355,0.7906108263305974,0.5206780586000662,0.8265745350301201,0.5068445838216505,0.8709977228765434,0.2584364039437168,-0.8517629155132155,0.760928482631728,-0.12152304351845497,0.953422964516358,0.9177953564022299,0.33047420930574617,-0.05971507211093183,0.951637887600172,0.4024402156461711
SL_EMP_EARN BOTHSEX              isco08-5          ,0.8218121491248104,0.7838628883749333,0.7420444847006593,-0.6266051048793455,0.808786793027396,-0.6259562506684091,0.8649238091073992,1.0,0.7195876011265806,-0.6002735939267522,0.926199722900306,0.5132949211879413,0.9564922980726831,0.014042330134267965,0.8720003023805651,-0.7176038610534985,0.9247522204851454,0.7470251544348747,0.2591657715846213,0.47508444641369446,0.9580164770855393,0.5829794506934582,0.5489800161938592,0.7420444847006606,-0.9475863826840458,0.670102408976877,-0.3378037974404857,0.7342975525182873,0.9576595235628158,0.7032994400464968,-0.5047152468654115,0.8646846410450497,0.4030598682564299
SL_EMP_EARN BOTHSEX              isco08-6          ,0.38669459561826514,0.3399786559933766,-0.849858174507227,-0.7368622555961284,0.5170424506724436,-0.026571646824984408,0.4065419032683022,0.7195876011265806,1.0,-0.6684304542627642,0.5976518011685763,0.4868512402181044,0.4946242283254912,-0.502173632092733,0.5215365394019658,0.4630750050693448,0.7744081497696542,0.498373721446486,0.19548940414884963,-0.23531961235630383,0.8213595348795878,0.5070247367386228,-0.14006695158802704,-0.8498581745072121,-0.8208589217921385,0.49608646230727776,-0.039430809103554336,-0.3648791828578687,0.7302768603271568,0.9623606790466961,-0.5639583897953478,0.4675888074191283,0.37030116170619964
SL_EMP_EARN BOTHSEX              isco08-7          ,-0.19491172578303936,-0.039241918106621705,0.03147622868544489,0.5621852652060509,-0.3174002486741848,0.3831405126624586,-0.15003057150900775,-0.6002735939267522,-0.6684304542627642,1.0,-0.28250927923693053,-0.151382418341315,-0.43440172219681883,0.06620414231050284,-0.37464750868953367,0.12547400067523862,-0.3676113997294077,-0.7627020423494283,0.019462335521549058,-0.1030364117286986,-0.5299250001816458,-0.2247859621606158,0.29239074500476003,0.03147622868546009,0.6093691357351274,-0.1979051728584596,0.4573700823448545,0.014842808402971829,-0.4787833253416973,-0.6145537222053488,0.9725063070217534,-0.19795764159656062,-0.07067534927402108
