UniqueID,TimePeriod,SL_TLF_UEM BOTHSEX                 15+       ,SL_TLF_UEM BOTHSEX                 15-24       ,SL_TLF_UEM BOTHSEX                 25+       ,SL_TLF_UEM FEMALE                 15+       ,SL_TLF_UEM FEMALE                 15-24       ,SL_TLF_UEM FEMALE                 25+       ,SL_TLF_UEM MALE                 15+       ,SL_TLF_UEM MALE                 15-24       ,SL_TLF_UEM MALE                 25+       
TimePeriod,1.0,-0.7987031207493914,0.18124179577903954,-0.7481900559272086,0.21302148074901692,0.5869755502196422,-0.48367131436418653,-0.8328046465275423,-0.32981111281205705,-0.9386550172876791
SL_TLF_UEM BOTHSEX                 15+       ,-0.7987031207493914,1.0,-0.03639758316424501,0.8780061438246903,0.2509741561779525,-0.858440457745541,0.8380057947760856,0.9735887908741772,0.756605297668672,0.8109853994861905
SL_TLF_UEM BOTHSEX                 15-24       ,0.18124179577903954,-0.03639758316424501,1.0,-0.502985101147189,0.24398361178139233,0.4381644547149574,-0.3734922396168598,0.11240139017962468,0.5392543103441734,-0.3859283577111581
SL_TLF_UEM BOTHSEX                 25+       ,-0.7481900559272086,0.8780061438246903,-0.502985101147189,1.0,0.08084520834544562,-0.9639736540158972,0.9070089677484318,0.7867957924694431,0.4104373050320936,0.8787136165175522
SL_TLF_UEM FEMALE                 15+       ,0.21302148074901692,0.2509741561779525,0.24398361178139233,0.08084520834544562,1.0,-0.21513341025324204,0.463533472409968,0.13211031413252447,0.540088200428034,-0.2937591126138121
SL_TLF_UEM FEMALE                 15-24       ,0.5869755502196422,-0.858440457745541,0.4381644547149574,-0.9639736540158972,-0.21513341025324204,1.0,-0.959220697322436,-0.7434971263055378,-0.5115588036924936,-0.7471144648233383
SL_TLF_UEM FEMALE                 25+       ,-0.48367131436418653,0.8380057947760856,-0.3734922396168598,0.9070089677484318,0.463533472409968,-0.959220697322436,1.0,0.6999071695650475,0.5711350826262187,0.6115983576833405
SL_TLF_UEM MALE                 15+       ,-0.8328046465275423,0.9735887908741772,0.11240139017962468,0.7867957924694431,0.13211031413252447,-0.7434971263055378,0.6999071695650475,1.0,0.7753499437536084,0.8149807815807426
SL_TLF_UEM MALE                 15-24       ,-0.32981111281205705,0.756605297668672,0.5392543103441734,0.4104373050320936,0.540088200428034,-0.5115588036924936,0.5711350826262187,0.7753499437536084,1.0,0.2781143381546901
SL_TLF_UEM MALE                 25+       ,-0.9386550172876791,0.8109853994861905,-0.3859283577111581,0.8787136165175522,-0.2937591126138121,-0.7471144648233383,0.6115983576833405,0.8149807815807426,0.2781143381546901,1.0
