UniqueID,TimePeriod,SH_IHR_CAPS                        IHR01 ,SH_IHR_CAPS                        IHR02 ,SH_IHR_CAPS                        IHR03 ,SH_IHR_CAPS                        IHR04 ,SH_IHR_CAPS                        IHR05 ,SH_IHR_CAPS                        IHR06 ,SH_IHR_CAPS                        IHR07 ,SH_IHR_CAPS                        IHR08 ,SH_IHR_CAPS                        IHR09 ,SH_IHR_CAPS                        IHR10 ,SH_IHR_CAPS                        IHR11 ,SH_IHR_CAPS                        IHR12 ,SH_IHR_CAPS                        IHR13 ,SH_IHR_CAPS                        SPAR01 ,SH_IHR_CAPS                        SPAR02 ,SH_IHR_CAPS                        SPAR03 ,SH_IHR_CAPS                        SPAR04 ,SH_IHR_CAPS                        SPAR05 ,SH_IHR_CAPS                        SPAR06 ,SH_IHR_CAPS                        SPAR07 ,SH_IHR_CAPS                        SPAR08 ,SH_IHR_CAPS                        SPAR09 ,SH_IHR_CAPS                        SPAR10 ,SH_IHR_CAPS                        SPAR11 ,SH_IHR_CAPS                        SPAR12 ,SH_IHR_CAPS                        SPAR13 
TimePeriod,1.0,-0.6091300695938505,-0.6649283429698503,-0.2649037912449442,-0.018471304968026382,0.1765469659009499,-0.7515404371675025,-0.4225771273642583,-0.5154784559308921,-0.25805650613070585,0.4472135954999579,-0.15862355042055676,-0.6142850083702607,0.6923962902669646,0.8660254037844387,0.8660254037844386,-0.8660254037844387,1.0,,0.8660254037844387,-0.8660254037844386,0.7136791021047098,0.8660254037844386,-0.8660254037844387,,-0.8660254037844387,-0.8660254037844386
SH_IHR_CAPS                        IHR01 ,-0.6091300695938505,1.0,0.317284400809808,-0.03173189807663723,0.04094086599851437,-0.28893269483836215,0.5824178026876102,0.8324248687432076,0.056796770124120995,-0.24693414069611191,0.2309919943846772,-0.3904891162076136,0.3993210741143298,-0.3722422987409663,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR02 ,-0.6649283429698503,0.317284400809808,1.0,0.5010462659786611,0.6399643530344964,0.4743847326994613,0.900517027548589,0.47034196084339625,0.48262493523577166,0.7192565770808169,-0.064644564132473,0.7271145793298714,0.9766805417785864,-0.22832699384017713,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR03 ,-0.2649037912449442,-0.03173189807663723,0.5010462659786611,1.0,0.7734645498617486,0.7138074613922316,0.518512887985242,0.4148449316075264,0.802460721046861,0.5837505216349378,0.24390589370869184,0.34774320148814614,0.5142564784817255,0.41129978942633477,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR04 ,-0.018471304968026382,0.04094086599851437,0.6399643530344964,0.7734645498617486,1.0,0.9011738376774402,0.5710493544580262,0.5463885694440418,0.4203799751990916,0.6084338279255116,0.5920110074301241,0.5352008309760405,0.7098268564814655,0.5730819901912568,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR05 ,0.1765469659009499,-0.28893269483836215,0.4743847326994613,0.7138074613922316,0.9011738376774402,1.0,0.25338309415444465,0.19844852778949554,0.23643756574710745,0.49963138863252343,0.5210977424081371,0.6299915757173742,0.5498378199715623,0.7207905081357568,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR06 ,-0.7515404371675025,0.5824178026876102,0.900517027548589,0.518512887985242,0.5710493544580262,0.25338309415444465,1.0,0.7197698396192053,0.6316622408075898,0.6309217607479084,0.0,0.4011813766038953,0.8775059818365113,-0.3159225573483138,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR07 ,-0.4225771273642583,0.8324248687432076,0.47034196084339625,0.4148449316075264,0.5463885694440418,0.19844852778949554,0.7197698396192053,1.0,0.32033736047858796,0.07730039892745272,0.5669467095138409,-0.1794056549553677,0.5757824118707753,0.07174998191426303,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR08 ,-0.5154784559308921,0.056796770124120995,0.48262493523577166,0.802460721046861,0.4203799751990916,0.23643756574710745,0.6316622408075898,0.32033736047858796,1.0,0.6951576562669378,-0.22278010061475964,0.24273111308821813,0.3863276363073429,-0.1086525809710614,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR09 ,-0.25805650613070585,-0.24693414069611191,0.7192565770808169,0.5837505216349378,0.6084338279255116,0.49963138863252343,0.6309217607479084,0.07730039892745272,0.6951576562669378,1.0,-0.21182183294412832,0.7929724870845283,0.6014388654988209,-0.047395673559176794,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR10 ,0.4472135954999579,0.2309919943846772,-0.064644564132473,0.24390589370869184,0.5920110074301241,0.5210977424081371,0.0,0.5669467095138409,-0.22278010061475964,-0.21182183294412832,1.0,-0.20864296563101783,0.11870470683857422,0.7889147375315204,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR11 ,-0.15862355042055676,-0.3904891162076136,0.7271145793298714,0.34774320148814614,0.5352008309760405,0.6299915757173742,0.4011813766038953,-0.1794056549553677,0.24273111308821813,0.7929724870845283,-0.20864296563101783,1.0,0.6587995950396743,0.01728315859920221,,,,,,,,,,,,,
SH_IHR_CAPS                        IHR12 ,-0.6142850083702607,0.3993210741143298,0.9766805417785864,0.5142564784817255,0.7098268564814655,0.5498378199715623,0.8775059818365113,0.5757824118707753,0.3863276363073429,0.6014388654988209,0.11870470683857422,0.6587995950396743,1.0,-0.0998910854819305,,,,,,,,,,,,,
