UniqueID,EN_MAR_BEALITSQ                         ,EN_MAR_CHLDEV                         
EN_MAR_BEALITSQ                         ,1.0,-0.545954081891157
EN_MAR_CHLDEV                         ,-0.545954081891157,1.0
