UniqueID,FB_ATM_TOTL              A    15+       ,FB_CBK_BRCH              A    15+       
FB_ATM_TOTL              A    15+       ,1.0,-0.42225415201874467
FB_CBK_BRCH              A    15+       ,-0.42225415201874467,1.0
