UniqueID,TimePeriod,SH_STA_STNT                  <5Y       ,SH_STA_STNTN                  <5Y       
TimePeriod,1.0,,-0.6853605347059911
SH_STA_STNT                  <5Y       ,,,
SH_STA_STNTN                  <5Y       ,-0.6853605347059911,,1.0
