UniqueID,TimePeriod,SL_TLF_NEET BOTHSEX                 15-24       ,SL_TLF_NEET FEMALE                 15-24       ,SL_TLF_NEET MALE                 15-24       
TimePeriod,1.0,0.7396364589199328,0.8629633066811018,0.19897779788424844
SL_TLF_NEET BOTHSEX                 15-24       ,0.7396364589199328,1.0,0.9129027256391681,0.7465207513156102
SL_TLF_NEET FEMALE                 15-24       ,0.8629633066811018,0.9129027256391681,1.0,0.41836172568821717
SL_TLF_NEET MALE                 15-24       ,0.19897779788424844,0.7465207513156102,0.41836172568821717,1.0
