UniqueID,TimePeriod,SE_PRE_PARTN BOTHSEX                        ,SE_PRE_PARTN FEMALE                        ,SE_PRE_PARTN MALE                        
TimePeriod,1.0,0.9312330078477198,0.9268297702405713,0.9338936720050915
SE_PRE_PARTN BOTHSEX                        ,0.9312330078477198,1.0,0.9991340700135262,0.9992421805661703
SE_PRE_PARTN FEMALE                        ,0.9268297702405713,0.9991340700135262,1.0,0.9967574181668355
SE_PRE_PARTN MALE                        ,0.9338936720050915,0.9992421805661703,0.9967574181668355,1.0
