UniqueID,TimePeriod,EN_MAT_DOMCMPC             ALP            ,EN_MAT_DOMCMPC             BIM            ,EN_MAT_DOMCMPC             COL            ,EN_MAT_DOMCMPC             CPR            ,EN_MAT_DOMCMPC             CRO            ,EN_MAT_DOMCMPC             FEO            ,EN_MAT_DOMCMPC             FOF            ,EN_MAT_DOMCMPC             GBO            ,EN_MAT_DOMCMPC             MEO            ,EN_MAT_DOMCMPC             NFO            ,EN_MAT_DOMCMPC             NMA            ,EN_MAT_DOMCMPC             NMC            ,EN_MAT_DOMCMPC             NMM            ,EN_MAT_DOMCMPC             PET            ,EN_MAT_DOMCMPC             WCH            ,EN_MAT_DOMCMPC             WOD            ,EN_MAT_DOMCMPG             ALP            ,EN_MAT_DOMCMPG             BIM            ,EN_MAT_DOMCMPG             COL            ,EN_MAT_DOMCMPG             CPR            ,EN_MAT_DOMCMPG             CRO            ,EN_MAT_DOMCMPG             FEO            ,EN_MAT_DOMCMPG             FOF            ,EN_MAT_DOMCMPG             GBO            ,EN_MAT_DOMCMPG             MEO            ,EN_MAT_DOMCMPG             NFO            ,EN_MAT_DOMCMPG             NMA            ,EN_MAT_DOMCMPG             NMC            ,EN_MAT_DOMCMPG             NMM            ,EN_MAT_DOMCMPG             PET            ,EN_MAT_DOMCMPG             WCH            ,EN_MAT_DOMCMPG             WOD            ,EN_MAT_DOMCMPT             ALP            ,EN_MAT_DOMCMPT             BIM            ,EN_MAT_DOMCMPT             COL            ,EN_MAT_DOMCMPT             CPR            ,EN_MAT_DOMCMPT             CRO            ,EN_MAT_DOMCMPT             FEO            ,EN_MAT_DOMCMPT             FOF            ,EN_MAT_DOMCMPT             GBO            ,EN_MAT_DOMCMPT             MEO            ,EN_MAT_DOMCMPT             NFO            ,EN_MAT_DOMCMPT             NMA            ,EN_MAT_DOMCMPT             NMC            ,EN_MAT_DOMCMPT             NMM            ,EN_MAT_DOMCMPT             PET            ,EN_MAT_DOMCMPT             WCH            ,EN_MAT_DOMCMPT             WOD            
EN_MAT_DOMCMPC             WCH            ,-0.8735301114398822,-0.9702131346553798,-0.9842772905858872,-0.7362984323749298,-0.9816007833664948,-0.988030050160608,-0.9495343147237756,-0.8361051873760471,0.783265232668561,-0.9087874850968688,-0.8898795559345577,0.7509271567100546,0.9176643761630631,0.9605860311609071,-0.8290033206665983,1.0,0.5171450563072341,-0.7725960560837751,0.033162280764604396,-0.7303664152273192,-0.5762032984052723,-0.6121368229285274,-0.7942348540834506,-0.8228876345308933,0.9717355685431922,-0.9002220644315335,-0.8804010948042654,0.8413763617472161,0.919895373798242,0.9480456531011244,-0.7725420270297315,0.966091896434846,0.8471443395743382,-0.9268885440400556,-0.9379331457299211,-0.7423057858489122,-0.9454287582975271,-0.9425076507310948,-0.9982016675152924,-0.8461374204027069,-0.7640974001390877,-0.9099671489580016,-0.8930472028847992,0.5460233428729063,-0.7999014515873295,-0.532252700068419,-0.8681159626568329,-0.5225201231562746,-0.9052168935164052
EN_MAT_DOMCMPC             WOD            ,-0.7728280882692653,-0.6878649559312415,-0.5007309243335357,-0.9553738356489783,-0.5181124678126835,-0.5559909796569034,-0.28084400763492756,-0.8682673114330508,0.021929268154424378,-0.6994156423841857,-0.7212947722314204,0.027695644222244405,0.7413347766883256,0.6312893464609703,-0.6444140870187244,0.5171450563072341,1.0,-0.013276001945711423,0.8101557585165041,-0.9578306609179357,0.30083599509658987,0.29818506498583275,0.030675591329614168,-0.8660915403796993,0.6896622486001934,-0.6630712072003836,-0.6934114381126458,0.1726020485028531,0.7670769951093233,0.7154248207292566,-0.5711911089205887,0.6855759598929907,0.8796761372725169,-0.7489382651987627,-0.6866449557306166,-0.951478345519522,-0.6752951243964326,-0.6914827304893845,-0.49285025302484103,-0.8698225197640957,-0.8157546890999428,-0.7302657453175792,-0.7457765441989704,-0.2282503678404784,-0.8059560887519391,-0.8697131959053073,-0.7042628759006877,-0.8434905248774832,-0.6322043362429203
EN_MAT_DOMCMPG             ALP            ,0.3897245004625005,0.6563354788913551,0.6894343182220233,0.2383156691214986,0.674538430631144,0.6769687347953586,0.9237090742606153,0.4778206709409412,-0.9946934180044902,0.6396669604358581,0.6056816104363208,-0.6605915932708816,-0.48023702461016077,-0.5696230768821606,0.6808726531358726,-0.7725960560837751,-0.013276001945711423,1.0,0.35744793569067657,0.23572097668421255,0.6819110056066021,0.7517160038882057,0.9719342301253936,0.4857324238289466,-0.6508398754866719,0.6749020154807545,0.6325168756952486,-0.6819540878761375,-0.4918305093675203,-0.5398597185290287,0.7057571827391922,-0.5883370666335099,-0.383276780400119,0.5103616908214219,0.5132098200935872,0.2350079936316431,0.5283696473636199,0.524553537566481,0.7979107889941557,0.45565531415620664,0.20437760296383833,0.5876009672579624,0.5622040701855888,-0.6051172652289295,0.26045390267971436,-0.009741225790509254,0.6320136100478232,-0.09497497511124076,0.4718467627935116
EN_MAT_DOMCMPG             BIM            ,-0.4184492807854013,-0.2721395537350632,0.0033143037485453175,-0.6210300794303327,-0.0060937523622594785,-0.06458756104384993,0.20586889396693664,-0.565037066488865,-0.38604058525052093,-0.39550103500819805,-0.43740116459611006,-0.546764809462676,0.3576296057528666,0.16458884242424304,-0.4201373842231972,0.033162280764604396,0.8101557585165041,0.35744793569067657,1.0,-0.6239382949330642,0.7833430093686126,0.768296651160116,0.4836010532180582,-0.5751679208567612,0.2634868701275819,-0.37490163308621166,-0.425968847199033,-0.41125690235753903,0.3806504081885705,0.2844633091226453,-0.39465676105259,0.23319883492404647,0.5323592726093266,-0.3647458836609405,-0.2658912918636337,-0.6187695631122783,-0.2391959324458237,-0.2687254792960013,-0.018440472849473394,-0.5583871877839222,-0.5245486562068143,-0.41703385466524284,-0.45071413911815994,-0.7523388099361408,-0.4943984686316166,-0.7957981747203831,-0.4441524366599654,-0.7096633740224313,-0.25979727956022663
EN_MAT_DOMCMPG             COL            ,0.8942386989226746,0.8490152884986094,0.7238490287701499,0.9998490487907009,0.7389608499904096,0.7659294025432876,0.5229952240759265,0.939183933011837,-0.25356291351261634,0.8197302395594894,0.8296778170558612,-0.305347229230539,-0.8819442956254298,-0.8191050361781007,0.7351270536699034,-0.7303664152273192,-0.9578306609179357,0.23572097668421255,-0.6239382949330642,1.0,-0.018688251650355554,-0.013503762973607534,0.22670678484665524,0.9305018517100464,-0.8533930888854343,0.7835462742530882,0.8002342426935456,-0.4441090153138441,-0.9019968185080431,-0.8755026520596669,0.6509024052705149,-0.858142509527898,-0.9671661309376908,0.8882380858476374,0.8505014511185702,0.998692091742041,0.8457345839134157,0.855068404364994,0.7079465326424461,0.9467552484961851,0.8965502342644938,0.8495442543609532,0.8548856858684114,-0.04162220441420544,0.8993479517236423,0.843563320738044,0.8034464284563764,0.8383232784487257,0.7932517261194587
EN_MAT_DOMCMPG             CPR            ,0.22180239350465195,0.366286284537708,0.6189503437718726,-0.01269992799520436,0.6140112033054582,0.5642707752315599,0.7135142515110069,0.044355309749394944,-0.7231045699170892,0.20182017111725273,0.15692195712020274,-0.9414700095169438,-0.2895979205372497,-0.4791752253180461,0.10272189715383259,-0.5762032984052723,0.30083599509658987,0.6819110056066021,0.7833430093686126,-0.018688251650355554,1.0,0.993970699489174,0.8264738240384749,0.022725329089079177,-0.3782109785858296,0.2027296090837339,0.15113641845191508,-0.8852365311389301,-0.27003985288517246,-0.36892713050020176,0.07130884742738594,-0.41813143607124736,-0.10850213745670993,0.2834737833100938,0.38104088817836623,-0.006437652045419053,0.4085120716762801,0.37973996702708296,0.5809624591560664,0.0629917921325517,0.0852848284640961,0.19729103473632256,0.15921804940513945,-0.9791185573554276,0.12699987018671116,-0.2977665406502295,0.1262488232595465,-0.2014695291567181,0.36303443563507415
EN_MAT_DOMCMPG             CRO            ,0.23832002101711364,0.40485397287721775,0.6390424273452231,-0.0073116804876048,0.6311690582554865,0.5869624393624905,0.7608935798522052,0.08548817336202401,-0.7852871581968422,0.2592871617423809,0.21421873622556775,-0.9271577989620894,-0.3119539525640391,-0.49444189288193446,0.17850146349676393,-0.6121368229285274,0.29818506498583275,0.7517160038882057,0.768296651160116,-0.013503762973607534,0.993970699489174,1.0,0.8754062995141884,0.06712321592458535,-0.41407446025733663,0.2666593611708762,0.21417411373878448,-0.8774041986747539,-0.2942977992744058,-0.3896687730017536,0.15669728673385094,-0.44051449392262326,-0.1289301730050665,0.3101274797821578,0.39912376256065335,-0.0012918511303277348,0.4254036385048739,0.39916615349573203,0.6211129407065404,0.09968454666521386,0.08957994331806561,0.24702923711296118,0.20939150093784495,-0.9570778791830451,0.13488134999545176,-0.28077661695001105,0.19090445978378084,-0.2082237074271794,0.3826146943691802
EN_MAT_DOMCMPG             FEO            ,0.40246281357596697,0.6476254161702665,0.7464785189355541,0.2301891253515512,0.7353879716727829,0.7221272995526378,0.9426307766405332,0.41902722094479705,-0.9858397606405228,0.5781540903368036,0.5387124471996163,-0.81253393566562,-0.4915617122696794,-0.6171083137745885,0.5730347745395248,-0.7942348540834506,0.030675591329614168,0.9719342301253936,0.4836010532180582,0.22670678484665524,0.8264738240384749,0.8754062995141884,1.0,0.41778954367804766,-0.6485499456189588,0.6022592253972411,0.5548206303338308,-0.8169196652841467,-0.49654489968867876,-0.5632630631414602,0.5765117897699034,-0.6144391630979809,-0.3705070530539172,0.5128110363437511,0.5438556521215582,0.2288659656355533,0.5642630775941262,0.552434774144509,0.8144135480319576,0.4079873435553314,0.22033300621146282,0.5392528572328644,0.5081919350782751,-0.7717061296838817,0.2757297428310797,-0.06646846364709803,0.5474764954681314,-0.0983289238714751,0.5005005803867363
EN_MAT_DOMCMPG             FOF            ,0.8903956933040724,0.928548634802709,0.7685916643079534,0.9316230241481708,0.7721383672432613,0.8122702656123868,0.6783488813445101,0.9988191297115048,-0.4795399435484984,0.9551041830213367,0.961108919998157,-0.28837641338571346,-0.9021187420397575,-0.831903821752587,0.9312906621109138,-0.8228876345308933,-0.8660915403796993,0.4857324238289466,-0.5751679208567612,0.9305018517100464,0.022725329089079177,0.06712321592458535,0.41778954367804766,1.0,-0.9244089185645203,0.9432907122416386,0.9527104061616406,-0.4339784004674128,-0.9250899925253658,-0.8948787135720837,0.883736967429412,-0.8867962250838876,-0.9610836742089427,0.9212732997064552,0.8646478795376661,0.9305427118632666,0.857745644348315,0.8730021697372972,0.8172216919961606,0.9927937107435413,0.8445005364481606,0.9569316174701505,0.9610810224820612,-0.022340427867533808,0.8612633322848501,0.8153451232805917,0.9590805770003185,0.738044972014694,0.8178634287646227
EN_MAT_DOMCMPG             GBO            ,-0.9451846823551217,-0.9995221812975823,-0.9532870389816246,-0.8586124660005087,-0.9533090099780069,-0.9720905169904286,-0.8653936678626724,-0.9358854033752662,0.6578139316304794,-0.9650205497556765,-0.9565128715217673,0.6055908336562864,0.9726104890647094,0.9705445471342882,-0.8888403967317124,0.9717355685431922,0.6896622486001934,-0.6508398754866719,0.2634868701275819,-0.8533930888854343,-0.3782109785858296,-0.41407446025733663,-0.6485499456189588,-0.9244089185645203,1.0,-0.9504086450317129,-0.9433347855731617,0.7240853366880463,0.9797340243470465,0.9852877680530889,-0.8257056612091321,0.9899116077840306,0.9444111462986731,-0.9820076257044537,-0.9717479781459383,-0.8641977850904349,-0.9729338647184149,-0.9764702310733414,-0.9671708835729335,-0.9453447750387949,-0.8663241487275911,-0.9729261172049838,-0.9642821560602554,0.3594545469533872,-0.8932908903356507,-0.7016177596185124,-0.9350861130115882,-0.6771385120189605,-0.9392052294159468
