UniqueID,TimePeriod,GR_G14_GDP              A           ,GR_G14_XDC              A           
TimePeriod,1.0,-0.19286428255281904,0.9947786452431041
GR_G14_GDP              A           ,-0.19286428255281904,1.0,-0.10800629794521775
GR_G14_XDC              A           ,0.9947786452431041,-0.10800629794521775,1.0
