UniqueID,IC_GEN_MGTL FEMALE                        ,IC_GEN_MGTN FEMALE                        
IC_GEN_MGTL FEMALE                        ,1.0,0.5093561831090151
IC_GEN_MGTN FEMALE                        ,0.5093561831090151,1.0
