UniqueID,SP_GNP_WNOWNS                         ,SP_LGL_LNDAGSEC BOTHSEX                        ,SP_LGL_LNDAGSEC FEMALE                        ,SP_LGL_LNDAGSEC MALE                        
SP_GNP_WNOWNS                         ,,,,
SP_LGL_LNDAGSEC BOTHSEX                        ,,,,
SP_LGL_LNDAGSEC FEMALE                        ,,,,
SP_LGL_LNDAGSEC MALE                        ,,,,
