UniqueID,TimePeriod,AG_LND_FRST                         ,AG_LND_FRSTN                         ,AG_LND_TOTL                         
TimePeriod,1.0,-0.9999999998978218,-1.0,
AG_LND_FRST                         ,-0.9999999998978218,1.0,0.999999999897822,
AG_LND_FRSTN                         ,-1.0,0.999999999897822,1.0,
AG_LND_TOTL                         ,,,,
