UniqueID,TimePeriod,SH_SUD_ALCOL BOTHSEX                 15+       ,SH_SUD_ALCOL FEMALE                 15+       ,SH_SUD_ALCOL MALE                 15+       
TimePeriod,,,,
SH_SUD_ALCOL BOTHSEX                 15+       ,,,,
SH_SUD_ALCOL FEMALE                 15+       ,,,,
SH_SUD_ALCOL MALE                 15+       ,,,,
