UniqueID,TimePeriod,SH_STA_POISN BOTHSEX                        ,SH_STA_POISN FEMALE                        ,SH_STA_POISN MALE                        
TimePeriod,1.0,-1.0,-1.0,-1.0
SH_STA_POISN BOTHSEX                        ,-1.0,1.0,1.0000000000000002,0.9999999999999998
SH_STA_POISN FEMALE                        ,-1.0,1.0000000000000002,1.0,1.0
SH_STA_POISN MALE                        ,-1.0,0.9999999999999998,1.0,1.0
