UniqueID,TimePeriod,SG_INT_MBRDEV                         ECOSOC,SG_INT_MBRDEV                         IABD,SG_INT_MBRDEV                         IBRD,SG_INT_MBRDEV                         IFC,SG_INT_MBRDEV                         IMF,SG_INT_MBRDEV                         UNGA,SG_INT_MBRDEV                         WTO,SG_INT_VRTDEV                         ECOSOC,SG_INT_VRTDEV                         IABD,SG_INT_VRTDEV                         IBRD,SG_INT_VRTDEV                         IFC,SG_INT_VRTDEV                         IMF,SG_INT_VRTDEV                         UNGA,SG_INT_VRTDEV                         WTO
TimePeriod,1.0,,,-0.8280786712108358,0.39279220242401586,-0.8280786712108358,,-0.8295639309012278,,,-0.9667986940576986,-0.6675052035367194,0.3997630095930785,,-0.8306190859088138
SG_INT_MBRDEV                         ECOSOC,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IABD,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         IBRD,-0.8280786712108358,,,1.0,-0.3162277660164514,1.0,,0.9234841160326442,,,0.9203129838127683,0.4861085629770371,-0.2981252874537633,,0.9235947872314331
SG_INT_MBRDEV                         IFC,0.39279220242401586,,,-0.3162277660164514,1.0,-0.3162277660168088,,-0.29203131896500784,,,-0.35914895245745665,-0.934748050474176,0.10070336821129622,,-0.29129501437939964
SG_INT_MBRDEV                         IMF,-0.8280786712108358,,,1.0,-0.3162277660168088,1.0,,0.9234841160326442,,,0.9203129838127683,0.4861085629770371,-0.2981252874537633,,0.9235947872314331
SG_INT_MBRDEV                         UNGA,,,,,,,,,,,,,,,
SG_INT_MBRDEV                         WTO,-0.8295639309012278,,,0.9234841160326442,-0.29203131896500784,0.9234841160326442,,1.0,,,0.8421681174868333,0.44891353657674715,-0.6414223820223391,,0.9999969817299279
SG_INT_VRTDEV                         ECOSOC,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         IABD,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         IBRD,-0.9667986940576986,,,0.9203129838127683,-0.35914895245745665,0.9203129838127683,,0.8421681174868333,,,1.0,0.618921015940788,-0.24860891583669814,,0.8430602723570146
SG_INT_VRTDEV                         IFC,-0.6675052035367194,,,0.4861085629770371,-0.934748050474176,0.4861085629770371,,0.44891353657674715,,,0.618921015940788,1.0,-0.14522067915198578,,0.4489314059101288
SG_INT_VRTDEV                         IMF,0.3997630095930785,,,-0.2981252874537633,0.10070336821129622,-0.2981252874537633,,-0.6414223820223391,,,-0.24860891583669814,-0.14522067915198578,1.0,,-0.6411440555761941
SG_INT_VRTDEV                         UNGA,,,,,,,,,,,,,,,
SG_INT_VRTDEV                         WTO,-0.8306190859088138,,,0.9235947872314331,-0.29129501437939964,0.9235947872314331,,0.9999969817299279,,,0.8430602723570146,0.4489314059101288,-0.6411440555761941,,1.0
