UniqueID,SL_TLF_CHLDEA BOTHSEX                 7-17       ,SL_TLF_CHLDEA FEMALE                 7-17       ,SL_TLF_CHLDEA MALE                 7-17       
SL_TLF_CHLDEA BOTHSEX                 7-17       ,,,
SL_TLF_CHLDEA FEMALE                 7-17       ,,,
SL_TLF_CHLDEA MALE                 7-17       ,,,
