UniqueID,TimePeriod,EN_HAZ_EXP                         ,EN_HAZ_GENGDP                         ,EN_HAZ_GENV              A           ,EN_HAZ_IMP                         ,EN_HAZ_PCAP                         ,EN_HAZ_TREATV              A           ,EN_HAZ_TRTDISR                         ,EN_HAZ_TRTDISV              A           ,EN_TWT_GENV                     ISIC4_T    
TimePeriod,1.0,0.16165918645150346,0.15541954788519294,0.21743003932323077,-0.0954438299381007,0.1729773550091627,0.18543834208336432,-0.6544202246651485,-0.03977395380171499,
EN_HAZ_EXP                         ,0.16165918645150346,1.0,-0.033105040419095066,-0.0026539265933439747,-0.5994826520907255,-0.009376617774214389,-0.4313297961948389,-0.20710130598943796,-0.57374718848636,
EN_HAZ_GENGDP                         ,0.15541954788519294,-0.033105040419095066,1.0,0.9965667987967544,0.6477425696495261,0.9994024866181977,0.8477947908107731,-0.7121312158405123,0.6974110665589092,
EN_HAZ_GENV              A           ,0.21743003932323077,-0.0026539265933439747,0.9965667987967544,1.0,0.639781660274732,0.9985258509121644,0.8469895631171681,-0.7269302081275488,0.690790986565166,
EN_HAZ_IMP                         ,-0.0954438299381007,-0.5994826520907255,0.6477425696495261,0.639781660274732,1.0,0.6410517979848143,0.9143628882757275,-0.13293214877065407,0.9966179266567882,
EN_HAZ_PCAP                         ,0.1729773550091627,-0.009376617774214389,0.9994024866181977,0.9985258509121644,0.6410517979848143,1.0,0.8436996695759191,-0.7162126385753816,0.6911534316312734,
EN_HAZ_TREATV              A           ,0.18543834208336432,-0.4313297961948389,0.8477947908107731,0.8469895631171681,0.9143628882757275,0.8436996695759191,1.0,-0.5228501140952442,0.944542693027483,
EN_HAZ_TRTDISR                         ,-0.6544202246651485,-0.20710130598943796,-0.7121312158405123,-0.7269302081275488,-0.13293214877065407,-0.7162126385753816,-0.5228501140952442,1.0,-0.21392805627018002,
EN_HAZ_TRTDISV              A           ,-0.03977395380171499,-0.57374718848636,0.6974110665589092,0.690790986565166,0.9966179266567882,0.6911534316312734,0.944542693027483,-0.21392805627018002,1.0,
EN_TWT_GENV                     ISIC4_T    ,,,,,,,,,,
