UniqueID,SH_STA_ANEM FEMALE                 15-49       ,SH_STA_ANEM_NPRG FEMALE                 15-49       ,SH_STA_ANEM_PREG FEMALE                 15-49       
SH_STA_ANEM FEMALE                 15-49       ,1.0,0.9995205082643128,0.9983702850884398
SH_STA_ANEM_NPRG FEMALE                 15-49       ,0.9995205082643128,1.0,0.9979977608567372
SH_STA_ANEM_PREG FEMALE                 15-49       ,0.9983702850884398,0.9979977608567372,1.0
