Target,2.1,2.2,2.3,2.5,2.a,2.b,2.c
2.1,1.0,1.0,,,-0.7565973360989839,,0.34744816078451574
2.2,1.0,1.0,,,-1.0,,1.0
2.3,,,,,,,
2.5,,,,,,,
2.a,-0.7565973360989839,-1.0,,,1.0,,-0.5989758376512885
2.b,,,,,,,
2.c,0.34744816078451574,1.0,,,-0.5989758376512885,,1.0
