Target,10.1,10.4,10.5,10.6,10.7,10.a,10.b,10.c
10.1,,,,,,,,
10.4,,1.0,-0.4147197240362874,0.9999999999999999,-0.07207223787567726,-0.7807310177370121,-0.8924143839948853,-1.0
10.5,,-0.4147197240362874,1.0,0.8424768740607207,0.11079010814198263,-0.7352625077076379,0.5269507252961703,0.09281103562350815
10.6,,0.9999999999999999,0.8424768740607207,1.0,0.5182455236672951,-0.8680516230188654,0.05565150839594202,0.23362021135876535
10.7,,-0.07207223787567726,0.11079010814198263,0.5182455236672951,1.0,-0.8080568340063011,0.2688716487852148,-0.7649265237707455
10.a,,-0.7807310177370121,-0.7352625077076379,-0.8680516230188654,-0.8080568340063011,1.0,-0.05374055259313574,-0.7438492010586036
10.b,,-0.8924143839948853,0.5269507252961703,0.05565150839594202,0.2688716487852148,-0.05374055259313574,1.0,-0.3727058066461139
10.c,,-1.0,0.09281103562350815,0.23362021135876535,-0.7649265237707455,-0.7438492010586036,-0.3727058066461139,1.0
