Target,4.1,4.2,4.3,4.4,4.5,4.7,4.a,4.b
4.1,1.0,,,,,,,0.43691161939050976
4.2,,,,,,,,
4.3,,,1.0,,,,,-0.7188819620141107
4.4,,,,1.0,,,0.9999999999999999,-0.9999999999999999
4.5,,,,,1.0,,,-1.0
4.7,,,,,,,,
4.a,,,,0.9999999999999999,,,1.0,-0.26716885448096084
4.b,0.43691161939050976,,-0.7188819620141107,-0.9999999999999999,-1.0,,-0.26716885448096084,1.0
