UniqueID,FB_ATM_TOTL              A    15+       ,FB_CBK_BRCH              A    15+       
FB_ATM_TOTL              A    15+       ,1.0,-0.2775112100270794
FB_CBK_BRCH              A    15+       ,-0.2775112100270794,1.0
