UniqueID,SP_ACS_BSRVH2O          ALLAREA               ,SP_ACS_BSRVSAN          ALLAREA               
SP_ACS_BSRVH2O          ALLAREA               ,1.0,0.9918968207883684
SP_ACS_BSRVSAN          ALLAREA               ,0.9918968207883684,1.0
